"Record Number","Record Type","Licensee Name","Address","Expiration Date","Status","Home Delivery","Disciplinary Action",
"PC-000854","Provisioning Center - License","Shango Lapeer","10 E. Genesee ST, Lapeer MI 48446","12/10/2023","Active",,,
"GR-C-001320","Class C Grower – License","Trivium Cannabis, LLC","16962 Woodlane DR, Nunica MI 49448","12/16/2023","Active",,,
"SC-000041","Safety Compliance - License","LAJA Investments 2, LLC","550 E. Cork ST, Kalamazoo MI 49001","03/20/2024","Active",,,
"GR-B-000043","Class B Grower – License","Symponia Farms Inc.","1140 Harmonia RD, Battle Creek MI 49037","03/17/2024","Active",,,
"GR-C-001316","Class C Grower – License","Canapa Valley Farms Grow, LLC","700 E Huron AVE Bldg 2, Vassar MI 48768","03/17/2024","Active",,,
"GR-C-001315","Class C Grower – License","Canapa Valley Farms Grow, LLC","700 E Huron AVE Bldg 2, Vassar MI 48768","03/17/2024","Active",,,
"ERG-004695","Entity Prequalification","Michigan Pure Farms LLC",,"03/14/2025","Active - Main Applicant",,,
"PC-000850","Provisioning Center - License","Green Medicine Shop","500 N. Lafayette ST, Greenville MI 48838","03/13/2024","Active",,,
"PC-000848","Provisioning Center - License","JAR Capital, LLC","14930 LaPlaisance RD Unit 121/122, Monroe MI 48161","03/13/2024","Active",,,
"ST-000073","Secure Transporter - License","West Michigan Secured Transport","1601 College Ave SE AVE, Grand Rapids MI 49507","05/12/2024","Active",,,
"PC-000851","Provisioning Center - License","Pure Cannabis Outlet","15311 S. Dixie HWY, Monroe MI 48161","03/09/2024","Active",,,
"PR-000331","Processor - License","KD Processing LLC","950 E. 10 Mile RD, Hazel Park MI 48030","03/09/2024","Active",,,
"ERG-004692","Entity Prequalification","KD Processing LLC",,"12/31/2099","Active - Main Applicant",,,
"ERG-004513","Entity Prequalification","Sterling Heights Technology, LLC",,"02/28/2025","Active - Main Applicant",,,
"PC-000846","Provisioning Center - License","Ascend Cannabis Group","503 Century Ave SW, Grand Rapids MI 49503","07/29/2023","Active","Approved",,
"PC-000839","Provisioning Center - License","MJ Highland LLC","2060 Dixie HWY, Waterford Twp MI 48328","02/24/2024","Active",,,
"ERG-004641","Entity Prequalification","Express Two N, Inc.",,"02/23/2025","Active - Main Applicant",,,
"ERG-004688","Entity Prequalification","BBB3, LLC",,"02/23/2025","Active - Main Applicant",,,
"ERG-004689","Entity Prequalification","Smiitty's, Inc.",,"02/22/2025","Active - Main Applicant",,,
"PC-000847","Provisioning Center - License","Greenways Provisioning Center","1221 M-30, Beaverton MI 48612","06/13/2023","Active",,,
"GR-C-001311","Class C Grower – License","Epic Farms, LLC","9270 N. Saginaw RD, Mount Morris MI 48458","02/16/2024","Active",,,
"PR-000328","Processor - License","OI Processing LLC","3090 Wright ST Suite B, Marquette MI 49855","02/13/2024","Active",,,
"GR-C-001246","Class C Grower – License","NTK Investments, LLC","21680 W. Eight Mile Rd, Southfield MI 48075","02/10/2024","Active",,,
"ERG-004686","Entity Prequalification","CJP Holdings MI LLC",,"02/09/2025","Active - Main Applicant",,,
"PC-000844","Provisioning Center - License","Gage Cannabis Company","24729 Sherwood AVE, Center Line MI 48015","07/30/2023","Active",,,
"GR-C-001312","Class C Grower – License","Morenci Brothers 4, LLC","520 Hammontree DR Suite A, Morenci MI 49256","02/07/2024","Active",,,
"PR-000326","Processor - License","CannaTech 360, LLC","520 Hammontree DR Suite B, Morenci MI 49256","02/07/2024","Active",,,
"PR-000327","Processor - License","Monroe Processing LLC","14930 LAPLAISANCE RD Unit 131 & 132, Monroe MI 48161","02/02/2024","Active",,,
"ERG-004684","Entity Prequalification","HOD International Holdings LLC",,"02/02/2025","Active - Main Applicant",,,
"ERG-004676","Entity Prequalification","Interstate 420, LLC",,"02/01/2025","Active - Main Applicant",,,
"ERG-004665","Entity Prequalification","Kenzy Holdings II, LLC",,"02/01/2025","Active - Main Applicant",,,
"ERG-004685","Entity Prequalification","Lourdy 22 LLC",,"02/01/2025","Active - Main Applicant",,,
"PR-000325","Processor - License","Canapa Valley Farms Processing, LLC","700 E Huron AVE Bldg 4, Vassar MI 48768","02/01/2024","Active",,,
"GR-B-000040","Class B Grower – License","Wanda Products, LLC","1369 Cripps RD, Luzurne MI 48636","01/25/2024","Active",,,
"ERG-004683","Entity Prequalification","Gaylord Distro LLC",,"01/24/2025","Active - Main Applicant",,,
"ST-000072","Secure Transporter - License","Trailblazer Industries LLC","11530 Stephens RD Suite 106, Warren MI 48089","01/20/2024","Active",,,
"PC-000845","Provisioning Center - License","Remedi, LLC","4898 Bald Mountain RD, Orion Township MI 48359","01/19/2024","Active",,,
"ERG-004680","Entity Prequalification","Haslett Gallery, Inc",,"01/18/2025","Active - Main Applicant",,,
"ERG-004674","Entity Prequalification","222 Biz 4 LLC",,"01/18/2025","Active - Main Applicant",,,
"ERG-004671","Entity Prequalification","LJA Holdings V, LLC",,"01/18/2025","Active - Main Applicant",,,
"ERG-004682","Entity Prequalification","Flaming Dragon, LLC",,"01/18/2025","Active - Main Applicant",,,
"ERG-004633","Entity Prequalification","Verts, LLC",,"01/18/2025","Active - Main Applicant",,,
"SC-000038","Safety Compliance - License","Carbon Labs","10992 W. Jefferson AVE, River Rouge MI 48218","01/17/2024","Active",,,
