"Record Number","Record Type","License Name","Address","Expiration Date","Status","Notes","Disciplinary Action",
"AU-G-C-001157","Class C Marihuana Grower - License","The Tree Company","683 Sheridan ST Bldg, Jackson MI 49203","03/31/2024","Active",,,
"AU-SC-000139","Marihuana Safety Compliance Facility - License","LAJA Investments 2 LLC","550 E. Cork ST, Kalamazoo MI 49001","03/31/2024","Active",,,
"AU-G-C-001163","Class C Marihuana Grower - License","Biogold, LLC","711 White Oak ST, Decatur MI 49045","04/22/2024","Active",,,
"AU-ER-003797","Adult-Use Entity Registration - License","BBB3, LLC",,"03/30/2025","Active - Main Prequalified",,,
"AU-ER-003852","Adult-Use Entity Registration - License","VC Invests, Inc.",,"03/30/2025","Active - Main Prequalified",,,
"AU-R-000954","Marihuana Retailer - License","Lighthouse T C","704 S Garfield Ave, Traverse City MI 49686","03/30/2024","Active",,,
"AU-G-B-000251","Class B Marihuana Grower - License","Grow Logic Farms","1610 O'Rourke BLVD, Gaylord MI 49735","03/30/2024","Active",,,
"AU-R-000949","Marihuana Retailer - License","Bay City Tree House Club","215 S Linn ST, Bay City MI 48706","07/13/2024","Active",,,
"AU-ER-003711","Adult-Use Entity Registration - License","Snappy Processing LLC",,"03/29/2025","Active - Main Prequalified",,,
"AU-ER-003905","Adult-Use Entity Registration - License","Ypsi Wurst License LLC",,"03/29/2025","Active - Main Prequalified",,,
"AU-R-000963","Marihuana Retailer - License","Olswell-Traverse City","728 E. Front ST, Traverse City MI 49686","07/09/2024","Active",,,
"AU-R-000945","Marihuana Retailer - License","The Woods Whitehall","1321 E. Colby ST, Whitehall MI 49461","03/29/2024","Active",,,
"AU-R-000947","Marihuana Retailer - License","House of Evolution Bay City","606 3rd ST, Bay City MI 48708","03/29/2024","Active",,,
"AU-R-000959","Marihuana Retailer - License","Gage Cannabis Company","1025 Hannah AVE, Traverse City MI 49686","06/04/2024","Active",,,
"AU-ER-003899","Adult-Use Entity Registration - License","Wing Properties LLC",,"03/29/2025","Active - Main Prequalified",,,
"AU-ER-003847","Adult-Use Entity Registration - License","Smart Meds LLC",,"03/29/2025","Active - Main Prequalified",,,
"AU-ER-003836","Adult-Use Entity Registration - License","moonlight leaf company inc",,"03/28/2025","Active - Main Prequalified",,,
"AU-G-C-001119","Class C Marihuana Grower - License","H&F Enterprises LLC","23455 Regency Park DR Suite B, Warren MI 48089","03/28/2024","Active",,,
"AU-G-C-001125","Class C Marihuana Grower - License","Medcanna LLC","2100 S. Washington AVE Suite 2014, Lansing MI 48910","03/28/2024","Active",,,
"AU-ER-003805","Adult-Use Entity Registration - License","GME Solutions, LLC",,"03/28/2025","Active - Main Prequalified",,,
"AU-ER-003766","Adult-Use Entity Registration - License","Urban Medical Farms LLC",,"03/28/2025","Active - Main Prequalified",,,
"AU-G-C-001165","Class C Marihuana Grower - License","Grasshopper Farms, LLC","29003 County Road 665, Paw Paw MI 49079","05/20/2024","Active",,,
"AU-ER-003860","Adult-Use Entity Registration - License","Prime License Group, LLC",,"03/24/2025","Active - Main Prequalified",,,
"AU-R-000953","Marihuana Retailer - License","Green Pharm TC","719 Parsons Rd., Traverse City MI 49686","08/27/2023","Active",,,
"AU-R-000944","Marihuana Retailer - License","Cannrose, Inc.","805 Maple ST, Big Rapids MI 49307","11/12/2023","Active",,,
"AU-R-000926","Marihuana Retailer - License","N/A","6640 E 8 Mile RD, Detroit MI 48234","03/24/2024","Active",,,
"AU-G-C-001162","Class C Marihuana Grower - License","Terrapin Harvest Circle, LLC","9313 N. Dort HWY, Mt. Morris MI 48458","03/24/2024","Active",,,
"AU-ER-003810","Adult-Use Entity Registration - License","GenTerra LLC",,"03/24/2025","Active - Main Prequalified",,,
"AU-R-000946","Marihuana Retailer - License","Pure Options - Detroit","2710 Livernois, Detroit MI 48209","03/24/2024","Active",,,
"AU-P-000411","Marihuana Processor - License","Farnan Farms LLC","7200 W. U.S. Route 12, Three Oaks MI 49128","03/24/2024","Active",,,
"AU-ER-003841","Adult-Use Entity Registration - License","Harrisville RE LLC",,"03/24/2025","Active - Main Prequalified",,,
"AU-ER-003798","Adult-Use Entity Registration - License","Utopia Labs Burton, LLC",,"03/24/2025","Active - Main Prequalified",,,
"AU-P-000400","Marihuana Processor - License","Bud & Mary's Cannabis Co., LLC","2325 N. Burdick ST, Kalamazoo MI 49007","07/20/2024","Active",,,
"AU-G-C-001126","Class C Marihuana Grower - License","Bud & Mary's Cannabis Co., LLC","2325 N. Burdick ST, Kalamazoo MI 49007","07/20/2024","Active",,,
"AU-ER-003857","Adult-Use Entity Registration - License","GC Flint Enterprises LLC",,"03/23/2025","Active - Main Prequalified",,,
"AU-P-000413","Marihuana Processor - License","True Health MI","2101 W.Willow ST, Lansing MI 48917","08/28/2023","Active",,,
"AU-ER-003851","Adult-Use Entity Registration - License","THE RELEAF CENTER OF DOWAGIAC LLC",,"03/23/2025","Active - Main Prequalified",,,
"AU-ER-003853","Adult-Use Entity Registration - License","THE RELEAF CENTER OF NEW BUFFALO LLC",,"03/23/2025","Active - Main Prequalified",,,
"AU-ER-003835","Adult-Use Entity Registration - License","RGR LLC",,"03/23/2025","Active - Main Prequalified",,,
"AU-ER-003850","Adult-Use Entity Registration - License","CANNABAR BY PAIGE LLC",,"03/23/2025","Active - Main Prequalified",,,
